run_id,model,q,split,transaction_cost_bps,borrow_bps_annual,slippage_bps,tax_proxy_rate,periods,mean_monthly_return,volatility_monthly,mean_tax_drag,cumulative_return,max_drawdown
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,50.0,300.0,0.0,0.408,383,-0.0020525152087345166,0.025993222140948,0.005408403081456864,-0.6014950299992311,-0.6408037155754204
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,50.0,300.0,10.0,0.0,383,0.003051044372137604,0.03325552957643544,0.0,1.6015519361172084,-0.47614667405775957
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,50.0,300.0,10.0,0.408,383,-0.0022902445082715883,0.02603156755805047,0.005341288880409192,-0.6364121235611097,-0.6702139457440078
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,50.0,300.0,25.0,0.0,383,0.00259377912126049,0.03324823169645556,0.0,1.1844726877936904,-0.48092467376098225
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,50.0,300.0,25.0,0.408,383,-0.002647490639590334,0.026089803548685328,0.005241269760850823,-0.6832311657298467,-0.7106654807164583
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,0.0,0.0,0.0,383,0.004331670369798632,0.03323873449581456,0.0,3.244191112705164,-0.4643480746767874
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,0.0,0.0,0.408,383,-0.00128019305364508,0.025838487391895353,0.0056118634234437114,-0.4631098040681929,-0.535392172865495
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,0.0,10.0,0.0,383,0.004026826869213888,0.03323586923460035,0.0,2.7780000071627406,-0.4676060049833176
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,0.0,10.0,0.408,383,-0.001515908922088944,0.025878482149113792,0.005542735791302832,-0.5097453867025802,-0.5708623728359135
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,0.0,25.0,0.0,383,0.0035695616183367743,0.033232572100192835,0.0,2.1726940699089266,-0.47245791382694047
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,0.0,25.0,0.408,383,-0.0018721890660653002,0.025939091016606453,0.005441750684402074,-0.5726791542760443,-0.6194280707426378
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,50.0,0.0,0.0,383,0.003915003703131965,0.03323873449581456,0.0,2.6199076194007658,-0.4684981167523644
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,50.0,0.0,0.408,383,-0.0016051733279639914,0.025896672860896454,0.005520177031095958,-0.5263477079335861,-0.5833720076366
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,50.0,10.0,0.0,383,0.0036101602025472223,0.03323586923460035,0.0,2.222133242325654,-0.4717321966589464
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,50.0,10.0,0.408,383,-0.0018422003512740025,0.025936676416275062,0.005452360553821226,-0.5677212485159333,-0.6153538908080253
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,50.0,25.0,0.0,383,0.0031528949516701076,0.033232572100192835,0.0,1.7056909394677215,-0.47654857109167725
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,50.0,25.0,0.408,383,-0.0022001830098210377,0.025997311862078095,0.005353077961491144,-0.6234766214304721,-0.6591169658574969
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,150.0,0.0,0.0,383,0.0030816703697986313,0.03323873449581456,0.0,1.6327906799563325,-0.4767072871109158
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,150.0,0.0,0.408,383,-0.002259399635698024,0.02601320668158164,0.005341070005496655,-0.6320062858231068,-0.6655048775202342
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,150.0,10.0,0.0,383,0.002776826869213888,0.03323586923460035,0.0,1.3432588072236866,-0.4798941582714731
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,150.0,10.0,0.408,383,-0.00249837711034264,0.0260532554698065,0.005275203979556529,-0.6644231536580938,-0.6934078396310224
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,150.0,25.0,0.0,383,0.0023195616183367736,0.033232572100192835,0.0,0.9673959350161128,-0.48464019729515584
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,150.0,25.0,0.408,383,-0.0028575994645011933,0.026114071472645294,0.005177161082837966,-0.7078733309764553,-0.731230807679298
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,300.0,0.0,0.0,383,0.0018316703697986313,0.03323873449581456,0.0,0.6322195338327112,-0.4887968772353395
factor_router_anchor_20260529T082412Z_baseline_mean_q30,baseline_mean,0.3,holdout,100.0,300.0,0.0,0.408,383,-0.003246737428521321,0.026188561147644177,0.005078407798319953,-0.7486569628219724,-0.7677330373199098
